,,,
Week 1,,,
"August 16, 2019",,,
Nova,0,3,LGD
Newbee,3,0,X-Quest
"August 17, 2019",,,
WE,1,3,W.EDGM
JDG,3,1,Gen.G
"August 18, 2019",,,
LGD,3,0,Newbee
X-Quest,0,3,Nova
"
",,,
Week 2,,,
"August 23, 2019",,,
X-Quest,1,3,WE
Newbee,2,3,W.EDGM
"August 24, 2019",,,
Nova,1,3,JDG
LGD,2,3,Gen.G
"August 25, 2019",,,
W.EDGM,3,1,X-Quest
WE,3,2,Newbee
"
",,,
Week 3,,,
"August 30, 2019",,,
WE,3,1,Gen.G
JDG,1,3,W.EDGM
"August 31, 2019",,,
Newbee,0,3,Nova
LGD,3,0,X-Quest
"September 1, 2019",,,
WE,3,1,JDG
W.EDGM,0,3,Gen.G
"
",,,
Week 4,,,
"September 6, 2019",,,
Nova,3,1,Gen.G
LGD,3,2,JDG
"September 7, 2019",,,
Newbee,3,0,JDG
Gen.G,3,1,X-Quest
"September 8, 2019",,,
WE,1,3,LGD
Nova,1,3,W.EDGM
Week 5,,,
"September 13, 2019",,,
WE,0,3,Nova
LGD,1,3,W.EDGM
"September 14, 2019",,,
Newbee,0,3,Gen.G
X-Quest,1,3,JDG
"September 15, 2019",,,
LGD,2,3,WE
Nova,1,3,W.EDGM
Week 6,,,
"September 20, 2019",,,
Newbee,2,3,Nova
X-Quest,2,3,Gen.G
"September 21, 2019",,,
LGD,2,3,W.EDGM
WE,3,0,JDG
"September 22, 2019",,,
Nova,3,0,X-Quest
Gen.G,0,3,Newbee
Week 7,,,
"September 27, 2019",,,
X-Quest,1,3,Newbee
W.EDGM,3,1,JDG
"September 28, 2019",,,
WE,3,2,Gen.G
Nova,0,3,LGD
"September 29, 2019",,,
Newbee,3,2,JDG
X-Quest,0,3,WE
Week 8,,,
"October 4, 2019",,,
W.EDGM,1,3,Gen.G
JDG,0,3,LGD
"October 5, 2019",,,
X-Quest,2,3,W.EDGM
Nova,2,3,WE
"October 6, 2019",,,
Newbee,1,3,LGD
Gen.G,3,0,JDG
Week 9,,,
"October 11, 2019",,,
WE,0,3,W.EDGM
LGD,3,1,X-Quest
"October 12, 2019",,,
X-Quest,3,1,JDG
Gen.G,0,3,Nova
W.EDGM,3,0,Newbee
"October 13, 2019",,,
WE,3,2,Newbee
Nova,3,2,JDG
Gen.G,1,3,LGD
